scene,model,model_key,capability_label,direction,drop_0p0_pp,drop_1p1_pp,drop_2p2_pp,drop_4p4_pp,increment_0_to_1p1_pp,increment_1p1_to_2p2_pp,increment_2p2_to_4p4_pp,nondecreasing_steps,fully_nondecreasing,spearman_rho,spearman_p
LongKou,Linear,linear,standard-capability,minus,0.0,0.11528627847283701,1.7772412878985455,9.869615912634078,0.11528627847283701,1.6619550094257085,8.092374624735532,3,True,1.0,0.0
LongKou,Linear,linear,standard-capability,plus,0.0,0.943491049493661,2.7901936915075143,10.024534507446814,0.943491049493661,1.8467026420138533,7.2343408159393,3,True,1.0,0.0
LongKou,MLP,mlp,standard-capability,minus,0.0,0.7719031336665294,9.421632951718784,33.26412421391637,0.7719031336665294,8.649729818052254,23.842491262197584,3,True,1.0,0.0
LongKou,MLP,mlp,standard-capability,plus,0.0,6.1094517200172005,15.883213689045583,42.309390451311636,6.1094517200172005,9.773761969028381,26.426176762266053,3,True,1.0,0.0
LongKou,CNN-1D,cnn1d,standard-capability,minus,0.0,2.8285594444786177,9.784953433460586,21.02802688321317,2.8285594444786177,6.956393988981969,11.243073449752583,3,True,1.0,0.0
LongKou,CNN-1D,cnn1d,standard-capability,plus,0.0,5.173928089934199,15.580789633486003,43.97739171348307,5.173928089934199,10.406861543551804,28.39660207999707,3,True,1.0,0.0
LongKou,SSCNN-3x3,sscnn3x3,standard-capability,minus,0.0,-0.48188645745006475,3.3471456704592506,24.80863569011008,-0.48188645745006475,3.8290321279093154,21.461490019650828,2,False,0.7999999999999999,0.20000000000000007
LongKou,SSCNN-3x3,sscnn3x3,standard-capability,plus,0.0,2.0443405772640144,4.753584651708409,12.046401350744251,2.0443405772640144,2.7092440744443946,7.292816699035842,3,True,1.0,0.0
LongKou,SSResNet-3x3,ssresnet3x3,standard-capability,minus,0.0,1.3475869198959267,13.814465373580964,37.86299957321382,1.3475869198959267,12.466878453685037,24.048534199632854,3,True,1.0,0.0
LongKou,SSResNet-3x3,ssresnet3x3,standard-capability,plus,0.0,3.265742972269492,9.577766444966429,26.28937415071154,3.265742972269492,6.312023472696937,16.711607705745113,3,True,1.0,0.0
LongKou,SpectralFormer-3x3,spectralformer3x3,standard-capability,minus,0.0,-1.3632470469665536,0.9316481808021693,13.55399832677745,-1.3632470469665536,2.294895227768723,12.62235014597528,2,False,0.7999999999999999,0.20000000000000007
LongKou,SpectralFormer-3x3,spectralformer3x3,standard-capability,plus,0.0,3.2832812278716483,6.892184422322845,15.383526514535827,3.2832812278716483,3.6089031944511962,8.491342092212982,3,True,1.0,0.0
HanChuan,Linear,linear,low-capability,minus,0.0,0.7006136377582961,2.684254186331292,7.40641183789802,0.7006136377582961,1.9836405485729958,4.722157651566728,3,True,1.0,0.0
HanChuan,Linear,linear,low-capability,plus,0.0,1.595451846373519,5.212856307889801,14.214584433747717,1.595451846373519,3.617404461516282,9.001728125857916,3,True,1.0,0.0
HanChuan,MLP,mlp,low-capability,minus,0.0,1.9271426146276083,5.442269765788121,12.478218694074894,1.9271426146276083,3.515127151160513,7.035948928286772,3,True,1.0,0.0
HanChuan,MLP,mlp,low-capability,plus,0.0,1.3906054273525426,5.073003937205433,17.074929544272532,1.3906054273525426,3.6823985098528906,12.001925607067099,3,True,1.0,0.0
HanChuan,CNN-1D,cnn1d,low-capability,minus,0.0,1.6485987383862422,5.787016364051967,12.541707405898272,1.6485987383862422,4.138417625665724,6.754691041846305,3,True,1.0,0.0
HanChuan,CNN-1D,cnn1d,low-capability,plus,0.0,4.07771651468507,9.214009429814984,20.771740652095495,4.07771651468507,5.136292915129914,11.55773122228051,3,True,1.0,0.0
HanChuan,SSCNN-3x3,sscnn3x3,standard-capability,minus,0.0,2.051715394876208,5.883895037279352,15.553305397670291,2.051715394876208,3.832179642403144,9.66941036039094,3,True,1.0,0.0
HanChuan,SSCNN-3x3,sscnn3x3,standard-capability,plus,0.0,2.1289220306412338,7.420371968671857,18.02339847670411,2.1289220306412338,5.291449938030623,10.603026508032253,3,True,1.0,0.0
HanChuan,SSResNet-3x3,ssresnet3x3,standard-capability,minus,0.0,3.2815319003823284,9.926455090880925,21.271731384625483,3.2815319003823284,6.644923190498597,11.345276293744558,3,True,1.0,0.0
HanChuan,SSResNet-3x3,ssresnet3x3,standard-capability,plus,0.0,3.4725019187769712,9.547943020918147,20.506396062354593,3.4725019187769712,6.075441102141176,10.958453041436446,3,True,1.0,0.0
HanChuan,SpectralFormer-3x3,spectralformer3x3,standard-capability,minus,0.0,1.0132041790116508,3.8348952104567458,11.765721964612608,1.0132041790116508,2.821691031445095,7.930826754155862,3,True,1.0,0.0
HanChuan,SpectralFormer-3x3,spectralformer3x3,standard-capability,plus,0.0,1.0423088273862735,3.477882440223712,9.592151140089445,1.0423088273862735,2.4355736128374383,6.114268699865733,3,True,1.0,0.0
HongHu,Linear,linear,low-capability,minus,0.0,2.8186871280500903,10.179469450656352,22.04300240149663,2.8186871280500903,7.360782322606262,11.863532950840277,3,True,1.0,0.0
HongHu,Linear,linear,low-capability,plus,0.0,2.2161236386626038,7.392854507780767,16.26968192915251,2.2161236386626038,5.176730869118163,8.876827421371745,3,True,1.0,0.0
HongHu,MLP,mlp,low-capability,minus,0.0,3.1072059144038877,11.384816412151755,25.115350184050953,3.1072059144038877,8.277610497747867,13.730533771899198,3,True,1.0,0.0
HongHu,MLP,mlp,low-capability,plus,0.0,1.1824453925664224,5.632755493675646,17.539196240198766,1.1824453925664224,4.450310101109223,11.90644074652312,3,True,1.0,0.0
HongHu,CNN-1D,cnn1d,low-capability,minus,0.0,1.1656589434915876,6.495506339892376,18.983871915550882,1.1656589434915876,5.329847396400789,12.488365575658506,3,True,1.0,0.0
HongHu,CNN-1D,cnn1d,low-capability,plus,0.0,2.5920529916246826,7.66078229301298,17.905438928910865,2.5920529916246826,5.068729301388298,10.244656635897885,3,True,1.0,0.0
HongHu,SSCNN-3x3,sscnn3x3,standard-capability,minus,0.0,4.932521283194646,20.552619033820875,35.493285148677266,4.932521283194646,15.620097750626229,14.940666114856391,3,True,1.0,0.0
HongHu,SSCNN-3x3,sscnn3x3,standard-capability,plus,0.0,4.877994411352427,15.61156826747634,33.332784085523606,4.877994411352427,10.733573856123913,17.721215818047266,3,True,1.0,0.0
HongHu,SSResNet-3x3,ssresnet3x3,standard-capability,minus,0.0,8.220367335921463,25.202638535531207,40.889937596870034,8.220367335921463,16.982271199609745,15.687299061338827,3,True,1.0,0.0
HongHu,SSResNet-3x3,ssresnet3x3,standard-capability,plus,0.0,5.414314513554008,17.89535028232182,33.83476278875056,5.414314513554008,12.481035768767814,15.939412506428738,3,True,1.0,0.0
HongHu,SpectralFormer-3x3,spectralformer3x3,low-capability,minus,0.0,2.9531584625860696,16.14891874626303,28.298593465961368,2.9531584625860696,13.19576028367696,12.14967471969834,3,True,1.0,0.0
HongHu,SpectralFormer-3x3,spectralformer3x3,low-capability,plus,0.0,5.018131218594268,14.993821145440533,30.86069686890957,5.018131218594268,9.975689926846265,15.866875723469038,3,True,1.0,0.0
