scene,model,model_key,direction,condition,nominal_brier,shifted_brier,brier_change,nominal_nll,shifted_nll,nll_change,nominal_ece,shifted_ece,ece_change
LongKou,Linear,linear,minus,global_center_minus_2p2_nm,0.16158797254918017,0.1612297144584276,-0.0003582580907525723,0.3629683459515455,0.3634993582267076,0.0005310122751621127,0.03147274405123423,0.024454239056471164,-0.007018504994763065
LongKou,Linear,linear,plus,global_center_plus_2p2_nm,0.16158797254918017,0.2130144664310473,0.051426493881867125,0.3629683459515455,0.44541307344411374,0.08244472749256826,0.03147274405123423,0.02110398350903309,-0.01036876054220114
LongKou,MLP,mlp,minus,global_center_minus_2p2_nm,0.07867709234012414,0.14241526735624963,0.06373817501612548,0.1541879938900281,0.33766096463738177,0.18347297074735366,0.010356917302931899,0.04242066369767391,0.03206374639474201
LongKou,MLP,mlp,plus,global_center_plus_2p2_nm,0.07867709234012414,0.3061880022504371,0.22751090991031292,0.1541879938900281,0.6717219071704126,0.5175339132803844,0.010356917302931899,0.11626242641516908,0.10590550911223719
LongKou,CNN-1D,cnn1d,minus,global_center_minus_2p2_nm,0.08565450812020424,0.12284987235139111,0.03719536423118687,0.1960182038587554,0.2996631651215108,0.10364496126275541,0.01280083363536692,0.03900167439199773,0.026200840756630813
LongKou,CNN-1D,cnn1d,plus,global_center_plus_2p2_nm,0.08565450812020424,0.308126604259768,0.22247209613956376,0.1960182038587554,0.7039110178589445,0.507892814000189,0.01280083363536692,0.11805453630924963,0.1052537026738827
LongKou,SSCNN-3x3,sscnn3x3,minus,global_center_minus_2p2_nm,0.05515112591167036,0.07771788901871515,0.022566763107044793,0.13103451650004552,0.19561233829122152,0.064577821791176,0.01649472954647303,0.023301270100142712,0.006806540553669683
LongKou,SSCNN-3x3,sscnn3x3,plus,global_center_plus_2p2_nm,0.05515112591167036,0.1092786547879766,0.054127528876306244,0.13103451650004552,0.25538082392683775,0.12434630742679223,0.01649472954647303,0.04131664208605594,0.02482191253958291
LongKou,SSResNet-3x3,ssresnet3x3,minus,global_center_minus_2p2_nm,0.041560368895861774,0.10505043538801537,0.0634900664921536,0.09423899217950335,0.2594873576852926,0.16524836550578922,0.013828498987987266,0.039028738489048906,0.02520023950106164
LongKou,SSResNet-3x3,ssresnet3x3,plus,global_center_plus_2p2_nm,0.041560368895861774,0.15196039953101398,0.1104000306351522,0.09423899217950335,0.35223857083363574,0.25799957865413237,0.013828498987987266,0.06290085140283808,0.049072352414850806
LongKou,SpectralFormer-3x3,spectralformer3x3,minus,global_center_minus_2p2_nm,0.0648806380665308,0.07345319461318742,0.008572556546656618,0.1469056526482708,0.17231867124619166,0.02541301859792086,0.01831338403763524,0.02118541983829996,0.0028720358006647205
LongKou,SpectralFormer-3x3,spectralformer3x3,plus,global_center_plus_2p2_nm,0.0648806380665308,0.1716277488379901,0.10674711077145929,0.1469056526482708,0.38842237553006387,0.24151672288179307,0.01831338403763524,0.06487188967845373,0.04655850564081848
HanChuan,Linear,linear,minus,global_center_minus_2p2_nm,0.47545416290002274,0.4771147795509888,0.0016606166509660625,1.0666661934598811,1.0683864874592315,0.001720293999350364,0.1046909549146439,0.10748154384357207,0.002790588928928167
HanChuan,Linear,linear,plus,global_center_plus_2p2_nm,0.47545416290002274,0.5108052855297298,0.03535112262970708,1.0666661934598811,1.1388324275703985,0.07216623411051737,0.1046909549146439,0.0656397987708617,-0.03905115614378221
HanChuan,MLP,mlp,minus,global_center_minus_2p2_nm,0.26858794810283204,0.3108629590521793,0.04227501094934727,0.5971955765498793,0.7139938788609685,0.11679830231108923,0.01933086282517822,0.051322873990484096,0.031992011165305874
HanChuan,MLP,mlp,plus,global_center_plus_2p2_nm,0.26858794810283204,0.3257125642598789,0.05712461615704684,0.5971955765498793,0.7447983773309095,0.14760280078103016,0.01933086282517822,0.054799022171649725,0.0354681593464715
HanChuan,CNN-1D,cnn1d,minus,global_center_minus_2p2_nm,0.2864818136671544,0.328625745907447,0.04214393224029256,0.6665924654231079,0.8075827891581481,0.14099032373504017,0.023488843515000586,0.05298602169946799,0.029497178184467406
HanChuan,CNN-1D,cnn1d,plus,global_center_plus_2p2_nm,0.2864818136671544,0.4144528985848369,0.1279710849176825,0.6665924654231079,1.0364835757842505,0.36989111036114264,0.023488843515000586,0.10941895518539377,0.08593011167039319
HanChuan,SSCNN-3x3,sscnn3x3,minus,global_center_minus_2p2_nm,0.2219057210419896,0.26755348354953606,0.04564776250754646,0.5528188667122806,0.7120178876079254,0.15919902089564475,0.048481690972654284,0.07392438180180068,0.025442690829146394
HanChuan,SSCNN-3x3,sscnn3x3,plus,global_center_plus_2p2_nm,0.2219057210419896,0.30475326192903357,0.08284754088704396,0.5528188667122806,0.83325044367723,0.28043157696494936,0.048481690972654284,0.09203659445884953,0.04355490348619524
HanChuan,SSResNet-3x3,ssresnet3x3,minus,global_center_minus_2p2_nm,0.24227921669641778,0.32764502045676636,0.08536580376034858,0.5565413705804417,0.8260128538950106,0.2694714833145688,0.06581008257122374,0.10641435270307811,0.04060427013185437
HanChuan,SSResNet-3x3,ssresnet3x3,plus,global_center_plus_2p2_nm,0.24227921669641778,0.32976168240086207,0.08748246570444429,0.5565413705804417,0.7953140657045219,0.23877269512408017,0.06581008257122374,0.1009386775470726,0.03512859497584886
HanChuan,SpectralFormer-3x3,spectralformer3x3,minus,global_center_minus_2p2_nm,0.2603943134648132,0.2895913437693438,0.029197030304530636,0.6473408732942986,0.735403244404251,0.08806237110995241,0.07125351158113993,0.08855844290499171,0.017304931323851774
HanChuan,SpectralFormer-3x3,spectralformer3x3,plus,global_center_plus_2p2_nm,0.2603943134648132,0.29784996503510064,0.03745565157028746,0.6473408732942986,0.7511411730590114,0.10380029976471283,0.07125351158113993,0.08767703637307725,0.016423524791937316
HongHu,Linear,linear,minus,global_center_minus_2p2_nm,0.43053658602345674,0.5503292641503224,0.11979267812686561,1.042561795625487,1.305907130431142,0.26334533480565514,0.16289490396929468,0.10592048993067901,-0.05697441403861567
HongHu,Linear,linear,plus,global_center_plus_2p2_nm,0.43053658602345674,0.4396944100724709,0.009157824049014163,1.042561795625487,1.1087605368327988,0.06619874120731195,0.16289490396929468,0.09350864895399472,-0.06938625501529996
HongHu,MLP,mlp,minus,global_center_minus_2p2_nm,0.299360969055547,0.4856008674963985,0.18623989844085154,0.7825242262705115,1.4005198014254658,0.6179955751549543,0.02127446050148867,0.08194106639682977,0.060666605895341105
HongHu,MLP,mlp,plus,global_center_plus_2p2_nm,0.299360969055547,0.34347103644338745,0.04411006738784046,0.7825242262705115,0.8787012000367987,0.0961769737662872,0.02127446050148867,0.06344858219286816,0.04217412169137949
HongHu,CNN-1D,cnn1d,minus,global_center_minus_2p2_nm,0.32674009595006787,0.4381588233136503,0.11141872736358244,0.8760086862459078,1.208091404989413,0.33208271874350515,0.020805035224271747,0.052996223424846625,0.03219118820057488
HongHu,CNN-1D,cnn1d,plus,global_center_plus_2p2_nm,0.32674009595006787,0.3813624820044622,0.054622386054394345,0.8760086862459078,1.0281190247144147,0.15211033846850697,0.020805035224271747,0.07523273082179026,0.05442769559751851
HongHu,SSCNN-3x3,sscnn3x3,minus,global_center_minus_2p2_nm,0.2528196924510562,0.5477140249549224,0.2948943325038662,0.7867103477803736,1.9748460090150055,1.1881356612346319,0.07717996654552502,0.20859628544802922,0.13141631890250421
HongHu,SSCNN-3x3,sscnn3x3,plus,global_center_plus_2p2_nm,0.2528196924510562,0.42447597311948854,0.17165628066843236,0.7867103477803736,1.4127783078072538,0.6260679600268801,0.07717996654552502,0.17202900311436645,0.09484903656884143
HongHu,SSResNet-3x3,ssresnet3x3,minus,global_center_minus_2p2_nm,0.21824628307876975,0.6387754976209294,0.4205292145421597,0.6213384007381832,2.010127808642075,1.3887894079038916,0.07250209142374094,0.26445683080335725,0.19195473937961632
HongHu,SSResNet-3x3,ssresnet3x3,plus,global_center_plus_2p2_nm,0.21824628307876975,0.385802186883412,0.16755590380464225,0.6213384007381832,1.2256767268710775,0.6043383261328943,0.07250209142374094,0.1515108739097118,0.07900878248597086
HongHu,SpectralFormer-3x3,spectralformer3x3,minus,global_center_minus_2p2_nm,0.24379787342954867,0.4935579206781184,0.2497600472485697,0.7206283167290025,1.5600516569405447,0.8394233402115422,0.07967776100741217,0.19277114151019087,0.1130933805027787
HongHu,SpectralFormer-3x3,spectralformer3x3,plus,global_center_plus_2p2_nm,0.24379787342954867,0.39972095918117406,0.1559230857516254,0.7206283167290025,1.2155207932910108,0.4948924765620083,0.07967776100741217,0.15642382284627168,0.07674606183885951
