geometry,scene,model,model_key,direction,five_seed_drop_mean_pp,five_seed_drop_sd_pp
dense_narrow,LongKou,Linear,linear,minus,1.6947178215771408,0.17424033807723513
dense_narrow,LongKou,Linear,linear,plus,2.6977917715640354,0.42067153080095143
dense_narrow,LongKou,MLP,mlp,minus,15.600261616185893,3.7708931340253757
dense_narrow,LongKou,MLP,mlp,plus,16.184733436462363,1.6947027025974406
dense_narrow,LongKou,CNN-1D,cnn1d,minus,13.518796996044102,8.094434026329445
dense_narrow,LongKou,CNN-1D,cnn1d,plus,16.358440326964192,8.237908175632173
dense_narrow,LongKou,SSCNN-3x3,sscnn3x3,minus,3.6397381703136373,1.6929812447314354
dense_narrow,LongKou,SSCNN-3x3,sscnn3x3,plus,4.678685174903159,0.4431352320836798
dense_narrow,LongKou,SSResNet-3x3,ssresnet3x3,minus,14.955043928820947,13.744573886031663
dense_narrow,LongKou,SSResNet-3x3,ssresnet3x3,plus,9.70188121218638,3.971163893313603
dense_narrow,LongKou,SpectralFormer-3x3,spectralformer3x3,minus,2.9737277958684527,2.5903267834799037
dense_narrow,LongKou,SpectralFormer-3x3,spectralformer3x3,plus,5.6671237970061865,2.214934406984271
dense_narrow,HanChuan,Linear,linear,minus,4.145599586663682,0.48749126326970194
dense_narrow,HanChuan,Linear,linear,plus,7.035172978503332,0.5828350291401746
dense_narrow,HanChuan,MLP,mlp,minus,7.630108571307718,1.3831158625489692
dense_narrow,HanChuan,MLP,mlp,plus,10.036771885775483,0.9628368629620931
dense_narrow,HanChuan,CNN-1D,cnn1d,minus,8.068296991508666,4.026336027872971
dense_narrow,HanChuan,CNN-1D,cnn1d,plus,10.135837339313783,5.710632695315207
dense_narrow,HanChuan,SSCNN-3x3,sscnn3x3,minus,8.66133391640378,1.0707523932663994
dense_narrow,HanChuan,SSCNN-3x3,sscnn3x3,plus,12.003694279201213,1.8916463413160192
dense_narrow,HanChuan,SSResNet-3x3,ssresnet3x3,minus,9.632366815777912,2.37846869952513
dense_narrow,HanChuan,SSResNet-3x3,ssresnet3x3,plus,14.589217916244662,3.0758768964612564
dense_narrow,HanChuan,SpectralFormer-3x3,spectralformer3x3,minus,4.57626795891388,1.0954290530906232
dense_narrow,HanChuan,SpectralFormer-3x3,spectralformer3x3,plus,3.9330885147407084,1.2378794208677089
dense_narrow,HongHu,Linear,linear,minus,9.678686045637273,0.30992180341589554
dense_narrow,HongHu,Linear,linear,plus,7.297860585559141,0.3491463819937111
dense_narrow,HongHu,MLP,mlp,minus,9.383836992425925,1.3741614977894288
dense_narrow,HongHu,MLP,mlp,plus,6.046605432923258,0.6129749626728817
dense_narrow,HongHu,CNN-1D,cnn1d,minus,6.0779844690594675,0.8620879546130287
dense_narrow,HongHu,CNN-1D,cnn1d,plus,8.424430968096223,0.9716111175123912
dense_narrow,HongHu,SSCNN-3x3,sscnn3x3,minus,20.843028620318133,2.664878543336717
dense_narrow,HongHu,SSCNN-3x3,sscnn3x3,plus,17.667397581925197,1.4008417592437494
dense_narrow,HongHu,SSResNet-3x3,ssresnet3x3,minus,20.284261900637325,2.5414803668924697
dense_narrow,HongHu,SSResNet-3x3,ssresnet3x3,plus,18.8204223195606,2.7778177686704413
dense_narrow,HongHu,SpectralFormer-3x3,spectralformer3x3,minus,14.093912362157118,1.911666271712805
dense_narrow,HongHu,SpectralFormer-3x3,spectralformer3x3,plus,13.486402761287685,2.432582018693009
reference,LongKou,Linear,linear,minus,1.7772412878985546,0.2014661039970171
reference,LongKou,Linear,linear,plus,2.79019369150751,0.1767889225703262
reference,LongKou,MLP,mlp,minus,9.42163295171878,1.1381885304099222
reference,LongKou,MLP,mlp,plus,15.883213689045583,1.5087573689265288
reference,LongKou,CNN-1D,cnn1d,minus,9.784953433460593,2.1917904920942726
reference,LongKou,CNN-1D,cnn1d,plus,15.58078963348602,3.175071489768751
reference,LongKou,SSCNN-3x3,sscnn3x3,minus,3.3471456704592577,2.033374650197691
reference,LongKou,SSCNN-3x3,sscnn3x3,plus,4.753584651708405,0.5934553343134893
reference,LongKou,SSResNet-3x3,ssresnet3x3,minus,13.814465373580948,8.809732301646097
reference,LongKou,SSResNet-3x3,ssresnet3x3,plus,9.577766444966418,2.838413271569219
reference,LongKou,SpectralFormer-3x3,spectralformer3x3,minus,0.9316481808021582,1.9051470183805097
reference,LongKou,SpectralFormer-3x3,spectralformer3x3,plus,6.892184422322847,1.3332832671248358
reference,HanChuan,Linear,linear,minus,2.6842541863312896,0.27040714470670935
reference,HanChuan,Linear,linear,plus,5.212856307889799,0.29700478316515755
reference,HanChuan,MLP,mlp,minus,5.4422697657881285,0.5443538941280711
reference,HanChuan,MLP,mlp,plus,5.073003937205443,1.2108110762372886
reference,HanChuan,CNN-1D,cnn1d,minus,5.7870163640519845,3.5911485243888257
reference,HanChuan,CNN-1D,cnn1d,plus,9.214009429814999,3.4857822165030248
reference,HanChuan,SSCNN-3x3,sscnn3x3,minus,5.883895037279367,0.8147784516420626
reference,HanChuan,SSCNN-3x3,sscnn3x3,plus,7.420371968671866,2.854160774755553
reference,HanChuan,SSResNet-3x3,ssresnet3x3,minus,9.92645509088094,1.7066160092276568
reference,HanChuan,SSResNet-3x3,ssresnet3x3,plus,9.547943020918154,3.0078599857929396
reference,HanChuan,SpectralFormer-3x3,spectralformer3x3,minus,3.8348952104567497,1.246015609412238
reference,HanChuan,SpectralFormer-3x3,spectralformer3x3,plus,3.4778824402237207,1.2625498165550166
reference,HongHu,Linear,linear,minus,10.179469450656365,0.3286682304638003
reference,HongHu,Linear,linear,plus,7.3928545077807675,0.13882036090834662
reference,HongHu,MLP,mlp,minus,11.38481641215175,0.8536900131619838
reference,HongHu,MLP,mlp,plus,5.632755493675641,0.45440596071760025
reference,HongHu,CNN-1D,cnn1d,minus,6.495506339892372,1.3765396874828368
reference,HongHu,CNN-1D,cnn1d,plus,7.660782293012976,0.4063249110616772
reference,HongHu,SSCNN-3x3,sscnn3x3,minus,20.552619033820868,2.86284685268138
reference,HongHu,SSCNN-3x3,sscnn3x3,plus,15.61156826747634,1.7644276996205965
reference,HongHu,SSResNet-3x3,ssresnet3x3,minus,25.202638535531207,4.066124343339698
reference,HongHu,SSResNet-3x3,ssresnet3x3,plus,17.89535028232182,0.9045122669678715
reference,HongHu,SpectralFormer-3x3,spectralformer3x3,minus,16.148918746263035,1.2855756037312598
reference,HongHu,SpectralFormer-3x3,spectralformer3x3,plus,14.993821145440542,0.8134771567641403
coarse_broad,LongKou,Linear,linear,minus,2.3998118371849886,0.357140543031423
coarse_broad,LongKou,Linear,linear,plus,2.4422280759984716,0.3610463707616132
coarse_broad,LongKou,MLP,mlp,minus,11.263619139797813,2.7034200059327023
coarse_broad,LongKou,MLP,mlp,plus,14.491820700085384,0.8521841298360687
coarse_broad,LongKou,CNN-1D,cnn1d,minus,8.332567394684535,2.7359815938016747
coarse_broad,LongKou,CNN-1D,cnn1d,plus,14.199708883194065,3.780136117463847
coarse_broad,LongKou,SSCNN-3x3,sscnn3x3,minus,2.51311286227472,0.9513534320178361
coarse_broad,LongKou,SSCNN-3x3,sscnn3x3,plus,4.997882993064218,0.8965441801251851
coarse_broad,LongKou,SSResNet-3x3,ssresnet3x3,minus,16.100686231517454,6.629282029563284
coarse_broad,LongKou,SSResNet-3x3,ssresnet3x3,plus,11.058132371868087,3.3997044387992434
coarse_broad,LongKou,SpectralFormer-3x3,spectralformer3x3,minus,3.9585949798100373,2.5713496863777374
coarse_broad,LongKou,SpectralFormer-3x3,spectralformer3x3,plus,7.449373211375332,1.2725101935487213
coarse_broad,HanChuan,Linear,linear,minus,2.5379460984792357,0.1310325753405588
coarse_broad,HanChuan,Linear,linear,plus,4.011525015362786,0.3560035892998283
coarse_broad,HanChuan,MLP,mlp,minus,5.144084140764694,0.6608786571917805
coarse_broad,HanChuan,MLP,mlp,plus,4.451334398087227,1.0079204657995358
coarse_broad,HanChuan,CNN-1D,cnn1d,minus,2.7956913814940365,1.8943839874441457
coarse_broad,HanChuan,CNN-1D,cnn1d,plus,7.908832493927272,2.8189834720345783
coarse_broad,HanChuan,SSCNN-3x3,sscnn3x3,minus,6.814691189649276,1.2347892349734264
coarse_broad,HanChuan,SSCNN-3x3,sscnn3x3,plus,6.185905976696673,1.2424322787512587
coarse_broad,HanChuan,SSResNet-3x3,ssresnet3x3,minus,10.138746501909393,3.1395539715197747
coarse_broad,HanChuan,SSResNet-3x3,ssresnet3x3,plus,9.642728517790497,2.2658865582138423
coarse_broad,HanChuan,SpectralFormer-3x3,spectralformer3x3,minus,4.3331459753546575,0.749463935067353
coarse_broad,HanChuan,SpectralFormer-3x3,spectralformer3x3,plus,2.945190005380891,1.4061844816389133
coarse_broad,HongHu,Linear,linear,minus,10.51905952531231,0.16045549540330212
coarse_broad,HongHu,Linear,linear,plus,7.27897246950022,0.2596200532136797
coarse_broad,HongHu,MLP,mlp,minus,11.159462999655348,0.7038122137436841
coarse_broad,HongHu,MLP,mlp,plus,6.61796232574134,0.7111853986862073
coarse_broad,HongHu,CNN-1D,cnn1d,minus,7.90605652993372,0.8349854184431513
coarse_broad,HongHu,CNN-1D,cnn1d,plus,7.998142053234902,0.2788546853820449
coarse_broad,HongHu,SSCNN-3x3,sscnn3x3,minus,23.009418926816796,1.7880466835949436
coarse_broad,HongHu,SSCNN-3x3,sscnn3x3,plus,17.05186505801741,0.8905525907493643
coarse_broad,HongHu,SSResNet-3x3,ssresnet3x3,minus,24.89818965022171,4.291392781900924
coarse_broad,HongHu,SSResNet-3x3,ssresnet3x3,plus,17.34867942209314,2.698124300149522
coarse_broad,HongHu,SpectralFormer-3x3,spectralformer3x3,minus,16.658085754328518,1.9922288869119535
coarse_broad,HongHu,SpectralFormer-3x3,spectralformer3x3,plus,13.775888534504471,1.9063328927833272
